experiment_id,title,track,disposition,conclusion,current_successor,canonical_evidence,reason
exp08,Rank-stage and credit-tangent validation,credit_assignment,current_foundation,support,none,results/current/foundation_claims.csv,Current foundation for high-rank physical E/I updates with low-dimensional credit assignment
exp09,Hidden-HMM belief gate,belief_gate,current_foundation,support,none,results/current/foundation_claims.csv,Leakage-safe learned gates do not access true context and include causal interventions
exp10,Belief-to-Dale-E/I bridge,belief_ei,current_foundation,support,exp21,results/exp10_bridge_formal_summary.csv,Establishes a bounded frozen-receiver bridge while Exp21 provides the stronger full-trajectory audit
exp11,IBL behavior belief benchmark,real_behavior,current_foundation,mixed,exp25,results/exp11_ibl_behavior_real_summary.csv,Real behavior supports hidden-block inference but does not yet validate shared neural dynamics
exp21,Belief-controlled high-rank E/I trajectories,belief_ei,current_foundation,support,none,results/exp21_belief_ei_full_trajectory_formal_report.md,Current bounded evidence for low-dimensional effective control closure and normal recovery on a frozen high-rank receiver
exp24,Factorized actuator capability benchmark,actuator_matching,current_core,support,exp26,results/current/claims.csv,Current oracle capability evidence that task demand reverses the useful control family
exp25,CompositionalTasks shared belief dynamics,real_neural,current_open,inconclusive,none,results/current/claims.csv,Active fail-closed real-data endpoint remains open because the canonical neural bundle is unavailable
exp26,Continuous actuator demand phase diagram,actuator_matching,current_core,support,none,results/exp26_actuator_matching_formal_v2_e08beaf/formal/report.md,Current preregistered 30-seed evidence for task-to-actuator matching geometry
exp29,Independent descriptor-selector confirmation,selector_learning,current_core,support,none,results/exp29_confirmatory_v1_94fa1c8/summary/report.md,Current one-shot held-out evidence for low-dimensional actuator-family selection
exp31,Hidden-reliability reward-only selector,reward_controller,current_core,support,exp32,results/exp31_hidden_reliability_reward_selector_formal_v1/report.md,Current 30-seed evidence that scalar executed reward can select between two fixed motifs within reset blocks
exp32,Persistent sparse-feedback controller,reward_controller,current_core,mixed,none,results/exp32_feedback_memory_timescale_phase_v2/report.md,Main continuous-HMM controller claim is supported while the registered iso-lambda timescale structure remains inconclusive
exp34,ORBIT causal consensus belief gate,real_task,current_open,inconclusive,none,docs/exp34_orbit_causal_consensus_protocol.md,The first validation package is retained but invalidated; support-annotation-safe validation and formal evidence remain pending
