experiment,proposition,comparison,effect_definition,inference_unit,multiplicity_family,estimate,ci_low,ci_high,p_value,holm_adjusted_p,n_complete,n_planned,threshold,conclusion,claim_scope,raw_run_git_commit,analysis_git_commit,analysis_script_sha256,analysis_python
exp19_belief_ei_effective_dynamics,heldout_behavior_fixed_checkpoint,md_combined_intact_vs_md_combined_clamp,intact_minus_comparator_balanced_accuracy,seed,exp19_paired_behavior_wilcoxon,0.17129645839152782,0.1634090225123865,0.17890946728001422,1.862645149230957e-09,1.30385160446167e-08,30,30,0.0,support,heldout task behavior; fixed intact readout/dynamics checkpoints,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp19_belief_ei_effective_dynamics,heldout_behavior_fixed_checkpoint,md_combined_intact_vs_md_combined_delay,intact_minus_comparator_balanced_accuracy,seed,exp19_paired_behavior_wilcoxon,0.019954534536985154,0.015177560605026797,0.02486867809363647,8.009374141693115e-08,8.009374141693115e-08,30,30,0.0,support,heldout task behavior; fixed intact readout/dynamics checkpoints,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp19_belief_ei_effective_dynamics,heldout_behavior_fixed_checkpoint,md_combined_intact_vs_md_combined_shuffle,intact_minus_comparator_balanced_accuracy,seed,exp19_paired_behavior_wilcoxon,0.16653487878529163,0.15218616607757304,0.18166022059614112,1.862645149230957e-09,1.30385160446167e-08,30,30,0.0,support,heldout task behavior; fixed intact readout/dynamics checkpoints,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp19_belief_ei_effective_dynamics,heldout_behavior_fixed_checkpoint,md_combined_intact_vs_md_population_only,intact_minus_comparator_balanced_accuracy,seed,exp19_paired_behavior_wilcoxon,0.18045858987757046,0.16453323038856,0.19658245187204024,1.862645149230957e-09,1.30385160446167e-08,30,30,0.0,support,architectural ablation with fixed intact checkpoints; not input-charge-matched for pathway-specific causal attribution,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp19_belief_ei_effective_dynamics,heldout_behavior_fixed_checkpoint,md_combined_intact_vs_md_pathway_only,intact_minus_comparator_balanced_accuracy,seed,exp19_paired_behavior_wilcoxon,0.1105499590133952,0.09087469046662972,0.13209332795871345,1.862645149230957e-09,1.30385160446167e-08,30,30,0.0,support,heldout task behavior; fixed intact readout/dynamics checkpoints,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp19_belief_ei_effective_dynamics,heldout_behavior_fixed_checkpoint,md_combined_intact_vs_md_disconnected,intact_minus_comparator_balanced_accuracy,seed,exp19_paired_behavior_wilcoxon,0.21851278301663984,0.20630111885415428,0.2312767241617229,1.862645149230957e-09,1.30385160446167e-08,30,30,0.0,support,architectural ablation with fixed intact checkpoints; not input-charge-matched for pathway-specific causal attribution,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp19_belief_ei_effective_dynamics,separate_train_only_baseline,md_combined_intact_vs_direct_evidence_mix,intact_minus_comparator_balanced_accuracy,seed,exp19_paired_behavior_wilcoxon,-0.042087326920494786,-0.04896102988682923,-0.03573849989573498,1.862645149230957e-09,1.30385160446167e-08,30,30,0.0,oppose,heldout task behavior; separately train-fitted scalar ridge baseline,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp19_belief_ei_effective_dynamics,high_rank_dale_physical_background,registered_threshold_audit,physical recurrent matrix only; descriptive mechanism audit,seed,none_registered_threshold,1.0,,,,,30,30,rank_fraction>=0.9; Dale_valid=true for every seed,support,physical recurrent matrix only; descriptive mechanism audit,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp19_belief_ei_effective_dynamics,filtered_gate_moment_anchor_identifiability,registered_threshold_audit,training-cue moment-anchor identifiability; no hidden-state labels used,seed,none_registered_threshold,1.0,,,,,30,30,identifiable_seed_fraction>=0.9,support,training-cue moment-anchor identifiability; no hidden-state labels used,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp19_belief_ei_effective_dynamics,scalar_effective_control,registered_threshold_audit,nonzero scalar control/operator family; behavior benefit is a separate paired-seed claim,seed,none_registered_threshold,1.395682905200155,,,,,30,30,declared=effective=empirical=operator dimension=1; operator_delta_frobenius_norm>=1e-08 every seed,support,nonzero scalar control/operator family; behavior benefit is a separate paired-seed claim,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp19_belief_ei_effective_dynamics,coarse_shared_dynamics_closure,registered_threshold_audit,three-epoch mean-rate soft-operator surrogate; explicitly not a full LDS,seed,none_registered_threshold,0.6347635020424369,,,,,30,30,closure<1.0; basis_residual<0.5 for every seed,support,three-epoch mean-rate soft-operator surrogate; explicitly not a full LDS,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp19_belief_ei_effective_dynamics,local_normal_perturbation_decay,registered_threshold_audit,local linearization at intact training mean state only,seed,none_registered_threshold,0.5666666666666667,,,,,30,30,eligible_fraction>=0.9; decay<1.0; max_real_part<0.0,oppose,local linearization at intact training mean state only,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
