task_variant,condition,n_seeds,mean_matched_ba,mean_natural_ba,mean_test_task_loss,mean_matched_axis_l2,mean_natural_axis_l2,median_axis_rescale_ratio,min_axis_rescale_ratio,max_axis_rescale_ratio,mean_update_cosine
current,bptt_axis_only,30,0.8864661869815436,0.8875456587672573,0.4263269888840115,0.11256510416666667,0.7171636258716175,0.148873261697845,0.09887759997696596,7.2123045632594875,1.0
current,current_off_policy,30,0.8831138845482412,0.883530589658363,0.4293867296953357,0.12057084645663664,0.02685441012616807,4.363317165032107,2.8882811880113253,7.602346634974602,0.7166931957696597
current,exact_forward_sensitivity,30,0.8872791522145733,0.885680089995919,0.42524166897635507,0.10045872938718332,0.06176411946805085,1.7410127799967818,0.9379928660750559,3.429764220162636,1.0
current,frozen,30,0.8856661506172756,0.8856661506172756,0.4441667233054482,0.0,0.0,,,,
current,local_eprop,30,0.8844067084463302,0.8846592635394562,0.428421572826435,0.12131713728926184,0.04358542052381407,2.8620141926032794,1.3480561572012542,5.745547437985699,0.7164843762071195
current,random_update,30,0.8834842348203338,0.8835003858813324,0.4454887714014003,0.11399739583333333,0.07331101630662583,1.554637944613058,1.1691842100429672,2.1681401382316747,-0.01432985218237837
delayed,bptt_axis_only,30,0.7841522342353483,0.7980724567908566,0.5312533969327637,0.18505859375,1.4139173312520639,0.10938802695689878,0.10095368336570132,7.396946400856796,1.0
delayed,current_off_policy,30,0.7687789973311573,0.7811204372304136,0.5364205890863907,0.25600475986129123,0.03381914779798375,8.528801016021525,3.040632737181232,21.092118773987654,0.4298992500606822
delayed,exact_forward_sensitivity,30,0.7740243883595128,0.7820486584532859,0.5334865234836258,0.1371390490551083,0.010506755861495874,11.261673181487218,3.957735164267854,35.3299912752956,1.0
delayed,frozen,30,0.7801117012645123,0.7801117012645123,0.5340723718536502,0.0,0.0,,,,
delayed,local_eprop,30,0.7687789973311573,0.7806678747906524,0.5364083342654218,0.25619769929353853,0.00449282499791919,83.40759841078028,14.238970403087393,181.152919543678,0.4313544505633143
delayed,random_update,30,0.7789681884595342,0.7797885623445993,0.5342951352700056,0.25169270833333335,0.07348632356492237,3.362631898524027,2.453121758787896,5.36997548580196,0.0020372506197532626
