seed,discovery_threshold,discovery_alpha_threshold,heldout_generators,heldout_ties,spearman_rho,classifier_balanced_accuracy,classifier_auroc,alpha_classifier_balanced_accuracy,alpha_classifier_auroc,chi_minus_alpha_auroc
0,0.2305998088099576,0.35,44,0,0.8366036221130457,0.78125,0.9166666666666666,0.7083333333333333,0.7916666666666666,0.125
1,0.2305998088099576,0.35,44,0,0.8004938520896839,0.9142857142857144,0.9738095238095238,0.7571428571428571,0.8619047619047618,0.11190476190476195
2,0.2305998088099576,0.35,44,0,0.6821020175022722,0.78125,0.921875,0.7083333333333333,0.84375,0.078125
3,0.2305998088099576,0.35,44,1,0.7666396824091279,0.9333333333333333,0.9692307692307692,0.691025641025641,0.8333333333333333,0.13589743589743597
4,0.2246265776986685,0.35,44,0,0.6729331866858135,0.9242424242424243,0.9641873278236914,0.803030303030303,0.918732782369146,0.045454545454545414
5,0.2305998088099576,0.35,44,1,0.7264743878697887,0.7869458128078818,0.9532019704433498,0.6650246305418719,0.793103448275862,0.16009852216748777
6,0.2305998088099576,0.35,44,1,0.7405841212802765,0.8521505376344086,0.9354838709677419,0.6626344086021505,0.7876344086021505,0.14784946236559138
7,0.2305998088099576,0.35,44,0,0.7811476524501347,0.8647642679900744,0.9404466501240695,0.7332506203473945,0.847394540942928,0.09305210918114148
8,0.2305998088099576,0.35,44,0,0.7695726997418189,0.8816091954022989,0.9655172413793103,0.7298850574712643,0.8586206896551725,0.10689655172413781
9,0.2305998088099576,0.35,44,0,0.7550697582712191,0.9142857142857144,0.9714285714285714,0.7571428571428571,0.8428571428571429,0.12857142857142856
10,0.2305998088099576,0.35,44,1,0.7876918753380514,0.8976190476190476,0.9738095238095238,0.6928571428571428,0.8035714285714286,0.1702380952380952
11,0.2305998088099576,0.35,44,1,0.7480509629425413,0.8285714285714285,0.9333333333333333,0.6416666666666666,0.794047619047619,0.13928571428571435
12,0.2305998088099576,0.35,44,0,0.7677765924721833,0.9142857142857144,0.9571428571428572,0.7047619047619048,0.8238095238095238,0.13333333333333341
13,0.2305998088099576,0.35,44,0,0.7798786821062673,0.8149425287356322,0.9517241379310345,0.628735632183908,0.7758620689655172,0.17586206896551726
14,0.2305998088099576,0.35,44,1,0.771233139057183,0.8423645320197044,0.9211822660098522,0.770935960591133,0.8509852216748768,0.07019704433497542
15,0.2305998088099576,0.35,44,0,0.8199069583153424,0.7747368421052632,0.9157894736842105,0.6431578947368422,0.7778947368421053,0.13789473684210518
16,0.2305998088099576,0.35,44,0,0.8313347245759537,0.8974358974358975,0.9786324786324786,0.6623931623931625,0.7820512820512819,0.19658119658119666
17,0.2305998088099576,0.35,44,0,0.6550873778555766,0.8746898263027295,0.9478908188585609,0.7878411910669976,0.9069478908188586,0.04094292803970223
18,0.2305998088099576,0.35,44,0,0.7790788845571147,0.826797385620915,0.9477124183006536,0.6830065359477124,0.7788671023965142,0.16884531590413931
19,0.2305998088099576,0.35,44,1,0.711579892013883,0.8778409090909092,0.9602272727272728,0.7542613636363636,0.859375,0.10085227272727282
20,0.2305998088099576,0.35,44,0,0.7414006112878418,0.8117647058823529,0.9470588235294117,0.7823529411764706,0.8882352941176469,0.05882352941176483
21,0.23061379199212917,0.35,44,0,0.7895387276042733,0.95,0.988095238095238,0.7571428571428571,0.9095238095238095,0.07857142857142851
22,0.2305998088099576,0.35,44,0,0.7961617337744603,0.8526785714285714,0.9397321428571428,0.65625,0.8125,0.1272321428571428
23,0.2305998088099576,0.35,44,0,0.8113141992010806,0.8095238095238095,0.9166666666666666,0.6523809523809523,0.7761904761904762,0.14047619047619042
24,0.2305998088099576,0.35,44,0,0.7346506704304868,0.9270833333333333,0.9895833333333334,0.8229166666666667,0.9270833333333333,0.06250000000000011
25,0.2305998088099576,0.35,44,0,0.7792355592289996,0.7973856209150327,0.9368191721132897,0.6830065359477124,0.8137254901960784,0.12309368191721126
26,0.2246265776986685,0.35,44,0,0.7986104602717992,0.8802083333333333,0.9296875000000001,0.7083333333333333,0.8333333333333333,0.09635416666666685
27,0.2305998088099576,0.35,44,0,0.749109435242929,0.861904761904762,0.9238095238095237,0.7047619047619048,0.8428571428571429,0.08095238095238089
28,0.2305998088099576,0.35,44,0,0.715056682928519,0.8911764705882352,0.9705882352941176,0.7176470588235294,0.8529411764705883,0.11764705882352933
29,0.2305998088099576,0.35,44,0,0.7156814975125447,0.749379652605459,0.858560794044665,0.6240694789081886,0.7679900744416873,0.09057071960297769
