metric,statistics_unit,n,mean,std,min,max
routing_utility,post_hoc_amended_evaluation_seed,30,0.6249757751937984,0.01209105811041281,0.6065891472868218,0.6499515503875969
gain_utility,post_hoc_amended_evaluation_seed,30,0.5386466408268734,0.011054571410462493,0.5111434108527131,0.5593507751937985
low_rank_utility,post_hoc_amended_evaluation_seed,30,0.7536579457364341,0.014821823262304365,0.7286821705426356,0.7873062015503876
fixed_best_utility,post_hoc_amended_evaluation_seed,30,0.7536579457364341,0.014821823262304365,0.7286821705426356,0.7873062015503876
oracle_utility,post_hoc_amended_evaluation_seed,30,0.8658187984496125,0.01215448949913121,0.8449612403100776,0.896075581395349
gru_bptt_utility,post_hoc_amended_evaluation_seed,30,0.8504602713178294,0.013799585660710663,0.8234011627906976,0.8776647286821706
local_three_factor_utility,post_hoc_amended_evaluation_seed,30,0.8552406330749354,0.014578906664421165,0.8255813953488372,0.8873546511627909
local_minus_fixed_best,post_hoc_amended_evaluation_seed,30,0.10158268733850129,0.014670871764759577,0.08042635658914728,0.1325096899224806
oracle_minus_fixed_best,post_hoc_amended_evaluation_seed,30,0.1121608527131783,0.012525532680326969,0.0881782945736434,0.13468992248062014
local_noninferiority_contrast,post_hoc_amended_evaluation_seed,30,0.011854005167958651,0.006578836716143703,0.0,0.02475775193798449
local_selection_accuracy,post_hoc_amended_evaluation_seed,30,0.9054263565891474,0.04401195321315248,0.7906976744186046,0.9767441860465116
gru_selection_accuracy,post_hoc_amended_evaluation_seed,30,0.8961240310077521,0.03945382195446492,0.7674418604651163,0.9534883720930233
