user_id,task_index,n_classes,best_fixed_accuracy,oracle_accuracy,oracle_gain,action_disagreement,support_write_l1,support_write_l2,seed
P189,0,5,0.735,0.832,0.0969999999999999,0.492,4146.735424310835,3.736272068238921,3400
P189,1,5,0.743,0.825,0.0819999999999999,0.509,4146.735424310835,3.736272068238921,3400
P189,2,5,0.725,0.817,0.0919999999999999,0.5,4146.735424310835,3.736272068238921,3400
P189,3,5,0.735,0.832,0.0969999999999999,0.505,4146.735424310835,3.736272068238921,3400
P189,4,5,0.717,0.813,0.0959999999999999,0.484,4146.735424310835,3.736272068238921,3400
P194,0,9,0.625,0.75,0.125,0.67,19340.77825916344,9.18653429899076,3400
P194,1,9,0.6591666666666667,0.7766666666666666,0.1174999999999999,0.6625,19340.77825916344,9.18653429899076,3400
P194,2,9,0.6241666666666666,0.7466666666666667,0.1225,0.6716666666666666,19340.77825916344,9.18653429899076,3400
P194,3,9,0.6466666666666666,0.76,0.1133333333333334,0.6816666666666666,19340.77825916344,9.18653429899076,3400
P194,4,9,0.6583333333333333,0.7833333333333333,0.125,0.6683333333333333,19340.77825916344,9.18653429899076,3400
P189,0,5,0.757,0.838,0.0809999999999999,0.491,4146.735424310835,3.736272068238921,3401
P189,1,5,0.719,0.816,0.0969999999999999,0.508,4146.735424310835,3.736272068238921,3401
P189,2,5,0.73,0.825,0.0949999999999999,0.49,4146.735424310835,3.736272068238921,3401
P189,3,5,0.713,0.814,0.1009999999999999,0.509,4146.735424310835,3.736272068238921,3401
P189,4,5,0.721,0.823,0.1019999999999999,0.495,4146.735424310835,3.736272068238921,3401
P194,0,9,0.6533333333333333,0.7716666666666666,0.1183333333333332,0.6608333333333334,19340.77825916344,9.18653429899076,3401
P194,1,9,0.6525,0.7783333333333333,0.1258333333333333,0.6658333333333334,19340.77825916344,9.18653429899076,3401
P194,2,9,0.6308333333333334,0.7533333333333333,0.1224999999999999,0.6633333333333333,19340.77825916344,9.18653429899076,3401
P194,3,9,0.6458333333333334,0.7616666666666667,0.1158333333333333,0.6875,19340.77825916344,9.18653429899076,3401
P194,4,9,0.62,0.745,0.125,0.6916666666666667,19340.77825916344,9.18653429899076,3401
P189,0,5,0.721,0.814,0.0929999999999999,0.486,4146.735424310835,3.736272068238921,3402
P189,1,5,0.729,0.813,0.0839999999999999,0.485,4146.735424310835,3.736272068238921,3402
P189,2,5,0.734,0.814,0.0799999999999999,0.487,4146.735424310835,3.736272068238921,3402
P189,3,5,0.716,0.813,0.0969999999999999,0.497,4146.735424310835,3.736272068238921,3402
P189,4,5,0.716,0.814,0.0979999999999999,0.501,4146.735424310835,3.736272068238921,3402
P194,0,9,0.6333333333333333,0.76,0.1266666666666667,0.6791666666666667,19340.77825916344,9.18653429899076,3402
P194,1,9,0.6216666666666667,0.75,0.1283333333333333,0.6941666666666667,19340.77825916344,9.18653429899076,3402
P194,2,9,0.6283333333333333,0.7508333333333334,0.1225,0.6733333333333333,19340.77825916344,9.18653429899076,3402
P194,3,9,0.6291666666666667,0.7508333333333334,0.1216666666666667,0.6775,19340.77825916344,9.18653429899076,3402
P194,4,9,0.6366666666666667,0.7641666666666667,0.1274999999999999,0.6875,19340.77825916344,9.18653429899076,3402
