branch,tip_sha,target_sha,reachable,unique_commits,deleted_path_count,deleted_paths,materialization_status
agent/exp26-actuator-matching,27b01cc3ba468d051056c58857cb944b2505eae6,13495481dd107f15251f11c28fd458d0f82e2900,true,0,0,,not_needed
agent/belief-ei-block-switch,2e5d806194ac5bccda8f163824c0acc6b4296d6d,13495481dd107f15251f11c28fd458d0f82e2900,true,0,0,,not_needed
agent/effective-control-p0,49d4c1f98c07744984b909c1e46dfe9572408bf2,13495481dd107f15251f11c28fd458d0f82e2900,true,0,0,,not_needed
agent/ei-realdata-system,3ab77b7357cfae5aa966903fce4e14f6389f8e90,13495481dd107f15251f11c28fd458d0f82e2900,true,0,0,,not_needed
agent/exp16-learning-retry,cf22074014b860cbab7189a30543aa7ceb714b1d,13495481dd107f15251f11c28fd458d0f82e2900,true,0,0,,not_needed
agent/exp18-arc-recursive,f4255ebb896abb2ccc4dabbe3da4a4a42ad502fd,13495481dd107f15251f11c28fd458d0f82e2900,true,0,0,,not_needed
agent/hidden-context-p2,d194461ae5ae1770dcdc0065b12ac631266261f8,13495481dd107f15251f11c28fd458d0f82e2900,true,0,0,,not_needed
agent/integrated-tiny-hrm,a2287aabec403d2786b83b6c193236d127b7b512,13495481dd107f15251f11c28fd458d0f82e2900,true,0,0,,not_needed
agent/real-lowdim-validation,71f980bbf2a93872e5e2ad47b866f0aaec67d396,13495481dd107f15251f11c28fd458d0f82e2900,true,0,1,local_plasticity_gated_dynamics/results/raw_metrics.csv,materialized_archive
main,70f749d6e85a79452806257ac79a66551920dc14,13495481dd107f15251f11c28fd458d0f82e2900,true,0,0,,not_needed
